segment,controller,lataccel_cost,jerk_cost,total_cost,base_feedforward_gain,integrator,last_feedforward_err,last_feedforward_term,feedforward_saturated,integrator_clamp_hits,integrator_freeze_steps,avg_v_ego,max_v_ego,avg_abs_roll_lataccel,avg_abs_target_lataccel,avg_abs_a_ego
00000,test,0.7619513767223365,35.53697622376079,73.63454505987761,0.9032619676323465,2.7909987661450644,0.21561530138245877,0.04385136158663845,0.0,7.0,0.0,33.612788637454976,33.95745537182112,0.2838466598304004,0.5750619526276408,0.07958124790793021
00000,baseline,0.7601549790489774,29.60017697457263,67.6079259270215,,,,,,,,33.612788637454976,33.95745537182112,0.2838466598304004,0.5750619526276408,0.07958124790793021
00001,test,0.39091329347518056,10.108604126996035,29.654268800755062,0.9011420690576497,2.859456732880329,0.05487818352163896,-0.09306326163048592,0.0,0.0,0.0,20.863346159452313,28.0530482405378,0.2258088748902554,0.055581570935787215,0.371692396888496
00001,baseline,0.40833144678321587,9.24167337741713,29.658245716577923,,,,,,,,20.863346159452313,28.0530482405378,0.2258088748902554,0.055581570935787215,0.371692396888496
00002,test,0.6411872075331738,25.70138343779239,57.760743814451075,0.9043953349362692,4.0,0.07212941660189168,-0.15155940995681325,0.0,22.0,0.0,31.195890707859782,31.28840787121994,0.34196329566317,0.21521544451857702,0.03795551135144978
00002,baseline,0.7141772219873083,22.736576067685508,58.445437167050926,,,,,,,,31.195890707859782,31.28840787121994,0.34196329566317,0.21521544451857702,0.03795551135144978
00003,test,1.2977375870588497,22.85871272025048,87.74559207319297,0.9267545240856294,4.0,0.07331378299120228,-1.7484020928434112,0.0,127.0,0.0,11.412332944489625,19.18196868500007,0.3154453449770259,0.08163082973847416,0.6630810310409991
00003,baseline,0.4270200516491797,17.410460081322256,38.761462663781245,,,,,,,,11.412332944489625,19.18196868500007,0.3154453449770259,0.08163082973847416,0.6630810310409991
00004,test,2.1789917765567632,10.00323132870468,118.95282015654284,0.9000012063786325,3.0909090823386167,-0.004887585532746819,-1.3982233487842877,0.0,56.0,0.0,10.445296025159863,19.33064236868055,0.17469622644277316,0.032324189085458185,0.4369801784329688
00004,baseline,0.4026506810408542,8.13525899535786,28.267793047400573,,,,,,,,10.445296025159863,19.33064236868055,0.17469622644277316,0.032324189085458185,0.4369801784329688
00005,baseline,0.49780252033539985,13.415873091549829,38.305999108319824,,,,,,,,17.105930336808985,19.10158697293601,0.20684001470614538,0.15740365251754493,0.3671223182497601
00006,baseline,0.9029951659135733,31.24542952971269,76.39518782539136,,,,,,,,32.221733072656875,32.930332399039,0.49846768776876693,0.07807615966274484,0.10773179958852003
00007,baseline,0.12689782058503948,2.440338214974879,8.785229244226853,,,,,,,,10.986587168273962,15.710240364074709,0.10277744359801394,0.03613701869872036,0.3188009758892982
00008,baseline,0.6215968573803382,21.560711432206915,52.64055430122383,,,,,,,,21.8243749153221,25.1116843398495,0.37849741856808455,0.22089373570926985,0.383299474141503
00009,baseline,0.42909560456767726,14.97251670267218,36.42729693105605,,,,,,,,19.990206801966643,22.28781653500021,0.28659369457520756,0.32024986365213853,0.18534670612925527
00010,baseline,0.6127619089507382,24.693157345050043,55.33125279258695,,,,,,,,30.221783969022187,30.48460524215368,0.3514972918695819,0.5136438818460116,0.06853880632161868
00011,baseline,0.16639129547550877,3.599438996179824,11.919003769955262,,,,,,,,7.395646787370766,15.503411424012388,0.5800582768300443,0.010413293726981892,0.4666877574948448
00012,baseline,1.0428040323625705,23.831016268120717,75.97121788624924,,,,,,,,33.01728622281496,36.04786570599818,0.2545136846465112,0.053724330366931715,0.26641100813931373
00013,baseline,0.6267288526908537,19.271247905694658,50.60769054023734,,,,,,,,26.34881716738744,27.445181849449515,0.32106029151781695,0.43628026939716447,0.12286211509677593
00014,baseline,0.896696706433967,32.90026143015202,77.73509675185036,,,,,,,,30.340994074178102,30.785898671690056,0.3854770042016869,0.6594983115262039,0.07261657049006297
00015,baseline,0.4074852695668115,7.754480019714088,28.128743498054664,,,,,,,,13.092780146725708,20.12492561340332,0.10131173343244605,0.052053929933977255,0.6672626046940342
00016,baseline,0.6379233413210103,27.940555401483774,59.83672246753429,,,,,,,,30.67514038894128,32.54642103639483,0.4263773272501573,0.5522073422119791,0.09219664306124839
00017,baseline,0.732673461979347,23.831016268120752,60.4646893670881,,,,,,,,32.0686137710236,32.575284603928736,0.23280742276942112,0.13251448074548391,0.08834554811172551
00018,baseline,0.6851666546756614,19.934617567665246,54.19295030144832,,,,,,,,28.881402678011817,28.94321408974444,0.17709291169856117,0.05436849187873961,0.042688075927975126
00019,baseline,0.8726158262474821,42.15630382551805,85.78709513789215,,,,,,,,35.325612260820336,36.788833154329865,0.15493880900271018,0.6262681607508671,0.19811066842268402
00020,baseline,0.3706005195933423,10.166080198791322,28.696106178458436,,,,,,,,16.5366583579554,19.312497472878263,0.33639686128911805,0.15986945779043527,0.23573633455547624
00021,baseline,1.0067137732453164,41.55759474431709,91.89328340658292,,,,,,,,28.164110843306734,30.35256278337656,0.1407913214709188,0.15876705534566582,0.1879779066345177
00022,baseline,0.6151761194230015,18.0403020347456,48.799108005895675,,,,,,,,25.05267838372553,25.945279985411247,0.3074210876550155,0.25633187426645515,0.12787988925580396
00023,baseline,0.7717620956499152,23.299362604014316,61.88746738651007,,,,,,,,30.83959629285399,32.139240762185935,0.4589216414980554,0.19482719123589484,0.13464420295378315
00024,baseline,0.3908461605165824,10.281032342381893,29.823340368211014,,,,,,,,15.187770047364914,24.53166343820396,0.16877416208978802,0.10468057249885994,0.45558785161737747
00025,baseline,0.06737054927213927,1.3027909606931638,4.671318424300128,,,,,,,,7.240280056460491,11.95570249721076,0.30395674950363105,0.010715975864934895,0.551823940854024
00026,baseline,0.6776151952340682,48.100287583680576,81.98104734538398,,,,,,,,7.832027984959114,10.205701696577377,0.12315529072421114,0.26757663051540626,0.2958239664257622
00027,baseline,0.9982452425484906,24.621312255305945,74.53357438273048,,,,,,,,32.51162195627167,35.28357047304932,0.20393173764177183,0.28567691711361304,0.14552704907604258
00028,baseline,0.636738878199576,18.330077230046854,50.16702114002565,,,,,,,,30.258365578084845,30.595258015272048,0.17990783102575017,0.38077665348733103,0.051704638177073166
00029,baseline,0.3676331705083785,7.804771582534968,26.186430107953893,,,,,,,,7.38592324830589,16.080862131319858,0.05811692607137166,0.06704602209158556,0.5917367630899205
00030,baseline,0.9504082017521185,27.317897957034788,74.83830804464071,,,,,,,,29.94977482772479,32.55400659815744,0.24538041878614616,0.3702538797844112,0.25572903778975464
00031,baseline,0.06786795301493341,2.320596398734698,5.713994049481368,,,,,,,,9.514635491841155,14.496560329967169,0.47089622326900193,0.012319638854421135,0.32381038918258376
00032,baseline,0.7873284001881695,27.116731705751274,66.48315171515975,,,,,,,,31.791935733005115,36.204063415527344,0.252002855059287,0.05292877254869808,0.2416855124517147
00033,baseline,0.3626131405349298,22.95450617324263,41.085163199989125,,,,,,,,16.680997733304675,19.381520642908075,0.2232907877523515,0.6597420585316428,0.29518783558388073
00034,baseline,0.1696795343601042,8.190340230828346,16.674316948833557,,,,,,,,15.218277429521185,21.769698476988,0.32321622351409995,0.05270657892237109,0.5458716699403073
00035,baseline,0.3987060356493257,10.067891909474373,30.00319369194066,,,,,,,,21.390292069281877,24.36823684203263,0.05623217391580315,0.05790766837953446,0.24871861542059667
00036,baseline,0.8017939464840997,37.812070732324266,77.90176805652925,,,,,,,,35.29750521597291,35.70831687210965,0.1572378336824023,0.2903643237979565,0.09839235428560468
00037,baseline,0.10959180291974506,1.0465434739391775,6.526133619926431,,,,,,,,1.3352092735563303,3.051008408186669,0.19312818814167887,0.004188247829349918,0.3309310736458693
00038,baseline,0.36393460454883386,7.395254570993545,25.59198479843524,,,,,,,,15.406713205281282,19.52966089668664,0.12692604245178907,0.03557892283627652,0.3723195859657585
00039,baseline,0.22676948718147422,10.031969364602364,21.370443723676075,,,,,,,,17.777771210950895,22.913502859281905,0.18603998501572705,0.27259373784062835,0.33170544696509874
